CID_MEESHOSKU_SIZE,SKU,TOTAL,
"788134-ALC2079TEAL-XXL","ALC2079TEAL-XXL","257",
"789546-ALC2079W-XS","ALC2079WINE-XS","22",
"151105-ALC2079W-XS","ALC2079WINE-XS","22",
"1278053-ALC2079WINE2-XS","ALC2079WINE-XS","22",
"789657-ALC2079W-XS","ALC2079WINE-XS","22",
"540436-ALC2079WINE_2-XS","ALC2079WINE-XS","22",
"151105-ALC2079YLW-L","ALC2079YLW-L","89",
"789657-ALC2079YLW-L","ALC2079YLW-L","89",
"693536-ALC2079YLW-L","ALC2079YLW-L","89",
"788134-ALC2079YLW-L","ALC2079YLW-L","89",
"1293732-ALC2079YLW2-L","ALC2079YLW-L","89",
"789546-ALC2079YLW-L","ALC2079YLW-L","89",
"151105-ALC2079YLW-M","ALC2079YLW-M","12",
"789657-ALC2079YLW-M","ALC2079YLW-M","12",
"693536-ALC2079YLW-M","ALC2079YLW-M","12",
"788134-ALC2079YLW-M","ALC2079YLW-M","12",
"1293732-ALC2079YLW2-M","ALC2079YLW-M","12",
"789546-ALC2079YLW-M","ALC2079YLW-M","12",
"789546-ALC2079YLW-S","ALC2079YLW-S","3",
"151105-ALC2079YLW-S","ALC2079YLW-S","3",
"789657-ALC2079YLW-S","ALC2079YLW-S","3",
"693536-ALC2079YLW-S","ALC2079YLW-S","3",
"788134-ALC2079YLW-S","ALC2079YLW-S","3",
"1293732-ALC2079YLW2-S","ALC2079YLW-S","3",
"789657-ALC2079YLW-XL","ALC2079YLW-XL","1",
"693536-ALC2079YLW-XL","ALC2079YLW-XL","1",
"788134-ALC2079YLW-XL","ALC2079YLW-XL","1",
"1293732-ALC2079YLW2-XL","ALC2079YLW-XL","1",
"789546-ALC2079YLW-XL","ALC2079YLW-XL","1",
"151105-ALC2079YLW-XL","ALC2079YLW-XL","1",
"789546-ALC2079YLW-XS","ALC2079YLW-XS","118",
"151105-ALC2079YLW-XS","ALC2079YLW-XS","118",
"789657-ALC2079YLW-XS","ALC2079YLW-XS","118",
"693536-ALC2079YLW-XS","ALC2079YLW-XS","118",
"788134-ALC2079YLW-XS","ALC2079YLW-XS","118",
"1293732-ALC2079YLW2-XS","ALC2079YLW-XS","118",
"540436-ALC2079ZB_1-L","ALC2079ZB-L","2",
"540436-ALC2079ZB_1-M","ALC2079ZB-M","20",
"540436-ALC2079ZB_1-XXL","ALC2079ZB-XXL","4",
"3737135-ALC2080WINE3-L","ALC2080WINE-L","12",
"3695058-ALC2080WINE1-L","ALC2080WINE-L","12",
"1148447-ALC2080WINE2-L","ALC2080WINE-L","12",
"3737898-ALC2080WINE4-L","ALC2080WINE-L","12",
"1148447-ALC2080WINE2-M","ALC2080WINE-M","23",
"3737898-ALC2080WINE4-M","ALC2080WINE-M","23",
"3737135-ALC2080WINE3-M","ALC2080WINE-M","23",
"3695058-ALC2080WINE1-M","ALC2080WINE-M","23",
"1148447-ALC2080WINE2-S","ALC2080WINE-S","59",
"3737898-ALC2080WINE4-S","ALC2080WINE-S","59",
"3737135-ALC2080WINE3-S","ALC2080WINE-S","59",
"3695058-ALC2080WINE1-S","ALC2080WINE-S","59",
"3737135-ALC2080WINE3-XL","ALC2080WINE-XL","20",
"3695058-ALC2080WINE1-XL","ALC2080WINE-XL","20",
"1148447-ALC2080WINE2-XL","ALC2080WINE-XL","20",
"3737898-ALC2080WINE4-XL","ALC2080WINE-XL","20",
"3695058-ALC2080WINE1-XS","ALC2080WINE-XS","40",
"1148447-ALC2080WINE2-XS","ALC2080WINE-XS","40",
"3737898-ALC2080WINE4-XS","ALC2080WINE-XS","40",
"3737135-ALC2080WINE3-XS","ALC2080WINE-XS","40",
"3737135-ALC2080WINE3-XXL","ALC2080WINE-XXL","15",
"3695058-ALC2080WINE1-XXL","ALC2080WINE-XXL","15",
"1148447-ALC2080WINE2-XXL","ALC2080WINE-XXL","15",
"3737898-ALC2080WINE4-XXL","ALC2080WINE-XXL","15",
"1148910-ALC2080ZB2-L","ALC2080ZB-L","5",
"1148910-ALC2080ZB2-S","ALC2080ZB-S","22",
"1148910-ALC2080ZB2-XL","ALC2080ZB-XL","12",
"1148910-ALC2080ZB2-XS","ALC2080ZB-XS","156",
"1148910-ALC2080ZB2-XXL","ALC2080ZB-XXL","15",
"1148447-ALC2082NAVY1-S","ALC2082NAVY-S","18",
"1099461-ALC2082NAVY-S","ALC2082NAVY-S","18",
"1148447-ALC2082NAVY1-XS","ALC2082NAVY-XS","182",
"1099461-ALC2082NAVY-XS","ALC2082NAVY-XS","182",
"3737898-ALC2082RAMA2-M","ALC2082RAMA-M","27",
"3737898-ALC2082RAMA2-S","ALC2082RAMA-S","22",
"3737898-ALC2082RAMA2-XL","ALC2082RAMA-XL","2",
"3737898-ALC2082RAMA2-XS","ALC2082RAMA-XS","87",
"3737898-ALC2082RAMA2-XXL","ALC2082RAMA-XXL","11",
"1099461-ALC2082ZB-L","ALC2082ZB-L","4",
"1148910-ALC2082ZB1-L","ALC2082ZB-L","4",
"1099461-ALC2082ZB-XL","ALC2082ZB-XL","1",
"1148910-ALC2082ZB1-XL","ALC2082ZB-XL","1",
"1099461-ALC2082ZB-XS","ALC2082ZB-XS","37",
"1148910-ALC2082ZB1-XS","ALC2082ZB-XS","37",
"59880-7-3XL","ALC2087BROWN-3XL","9",
"337105-7-3XL","ALC2087BROWN-3XL","9",
"337105-10-3XL","ALC2094-3XL","2",
"59894-4-3XL","ALC2094-3XL","2",
"59880- ALC2094-3XL","ALC2094-3XL","2",
"3738245-ALC2096NAVY2-3XL","ALC2096NAVY-3XL","1",
"3738245-ALC2096NAVY2-M","ALC2096NAVY-M","17",
"3738245-ALC2096NAVY2-S","ALC2096NAVY-S","25",
"3738245-ALC2096NAVY2-XL","ALC2096NAVY-XL","4",
"59880-ALC2099-S","ALC2099-S","2",
"337105-6-L","ALC3005TEAL-L","114",
"59880-10-L","ALC3005TEAL-L","114",
"59880-10-M","ALC3005TEAL-M","37",
"337105-6-M","ALC3005TEAL-M","37",
"59880-10-S","ALC3005TEAL-S","28",
"337105-6-S","ALC3005TEAL-S","28",
"59880-10-XL","ALC3005TEAL-XL","273",
"337105-6-XL","ALC3005TEAL-XL","273",
"59880-10-XS","ALC3005TEAL-XS","81",
"337105-6-XS","ALC3005TEAL-XS","81",
"59880-10-XXL","ALC3005TEAL-XXL","155",
"337105-6-XXL","ALC3005TEAL-XXL","155",
"59894-5-L","ALC3007DRB-L","13",
"59894-5-M","ALC3007DRB-M","4",
"59894-5-S","ALC3007DRB-S","2",
"59894-5-XL","ALC3007DRB-XL","18",
"59894-5-XS","ALC3007DRB-XS","41",
"59880-8-S","ALC3020-S","1",
"59880-8-XL","ALC3020-XL","1",
"59880-8-XS","ALC3020-XS","3",
"337105-8-3XL","ALC3024-3XL","21",
"59880-6-3XL","ALC3024-3XL","21",
"337105-8-M","ALC3024-M","2",
"59880-6-M","ALC3024-M","2",
"59894-ALC3032-M","ALC3032-M","2",
"337105-9-M","ALC3032-M","2",
"59894-ALC3032-S","ALC3032-S","6",
"337105-9-S","ALC3032-S","6",
"337105-9-XL","ALC3032-XL","6",
"59894-ALC3032-XL","ALC3032-XL","6",
"59894-ALC3032-XS","ALC3032-XS","16",
"337105-9-XS","ALC3032-XS","16",
"59894-ALC3032-XXL","ALC3032-XXL","11",
"337105-9-XXL","ALC3032-XXL","11",
"3737898-ALC4001NAVY2-S","ALC4001NAVY-S","23",
"3737898-ALC4001NAVY2-XL","ALC4001NAVY-XL","337",
"3737898-ALC4001NAVY2-XS","ALC4001NAVY-XS","110",
"3737898-ALC40021-L","ALC4002-L","136",
"1099461-ALC4002-L","ALC4002-L","136",
"3737898-ALC40021-M","ALC4002-M","138",
"1099461-ALC4002-M","ALC4002-M","138",
"3737898-ALC40021-S","ALC4002-S","70",
"1099461-ALC4002-S","ALC4002-S","70",
"1099461-ALC4002-XL","ALC4002-XL","140",
"3737898-ALC40021-XL","ALC4002-XL","140",
"3737898-ALC40021-XS","ALC4002-XS","34",
"1099461-ALC4002-XS","ALC4002-XS","34",
"3737898-ALC40021-XXL","ALC4002-XXL","160",
"1099461-ALC4002-XXL","ALC4002-XXL","160",
"3739151-ALC40032-L","ALC4003-L","51",
"3737898-ALC40031-L","ALC4003-L","51",
"3737898-ALC40031-M","ALC4003-M","26",
"3739151-ALC40032-M","ALC4003-M","26",
"3739151-ALC40032-XL","ALC4003-XL","78",
"3737898-ALC40031-XL","ALC4003-XL","78",
"3737898-ALC40031-XXL","ALC4003-XXL","102",
"3739151-ALC40032-XXL","ALC4003-XXL","102",
"3737898-ALC4004NAVY1-L","ALC4004NAVY-L","23",
"3739871-ALC4004NAVY4-L","ALC4004NAVY-L","23",
"541535-ALC4004NAVY -L","ALC4004NAVY-L","23",
"3738245-ALC4004NAVY2-L","ALC4004NAVY-L","23",
"3737898-ALC4004NAVY1-M","ALC4004NAVY-M","10",
"3739871-ALC4004NAVY4-M","ALC4004NAVY-M","10",
"541535-ALC4004NAVY -M","ALC4004NAVY-M","10",
"3738245-ALC4004NAVY2-M","ALC4004NAVY-M","10",
"3737898-ALC4004NAVY1-S","ALC4004NAVY-S","95",
"3739871-ALC4004NAVY4-S","ALC4004NAVY-S","95",
"541535-ALC4004NAVY -S","ALC4004NAVY-S","95",
"3738245-ALC4004NAVY2-S","ALC4004NAVY-S","95",
"541535-ALC4004NAVY -XL","ALC4004NAVY-XL","6",
"3738245-ALC4004NAVY2-XL","ALC4004NAVY-XL","6",
